year,lprod,lcons,lacreage,lyield,linventory,shock,lfutprice,lprice,trendsp1,trendsp2,trendsp3
1959,,,,,,,,7.3042479,1959,0,0
1960,,,,,,,7.249619,7.2801008,1960,0,0
1961,7.6412153,7.639544,6.1069183,1.534297,.0016713142,-.043172143,7.2852683,7.3379765,1961,0,0
1962,7.6948605,7.6852107,6.1188149,1.5760459,.0096501112,-.018382996,7.3433595,7.3364725,1962,0,0
1963,7.7236238,7.7195454,6.1292868,1.5943369,.004078269,-.02961665,7.2999387,7.4258194,1963,0,0
1964,7.7827792,7.7698641,6.1637387,1.6190401,.012914777,-.014519992,7.3125281,7.3141165,1964,.00041649313,0
1965,7.7866464,7.8323483,6.1618509,1.6247952,-.045702219,-.030312512,7.245863,7.2652888,1965,.003331945,0
1966,7.8759608,7.8496499,6.1721654,1.7037953,.026310802,.021957155,7.2523904,7.3734927,1966,.011245314,0
1967,7.9185371,7.882905,6.1900225,1.7285147,.035632133,.016068837,7.3030725,7.188395,1967,.02665556,0
1968,7.9502177,7.9181471,6.2039356,1.746282,.032070518,.022338316,7.1939287,7.094749,1968,.05206164,0
1969,7.9551663,7.9509468,6.1926136,1.762553,.0042197704,.014194829,7.0316401,7.0432353,1969,.089962512,0
1970,7.9762435,8.0094013,6.1809559,1.7952875,-.033157945,.015144132,6.9905782,7.1983995,1970,.14285715,0
1971,8.0687313,8.0343056,6.2079201,1.8608118,.034426332,.045045394,7.1251621,7.1394854,1971,.21324448,0
1972,8.0524006,8.0787868,6.1997628,1.852638,-.026386023,.018432869,7.084116,7.3459153,1972,.3036235,0
1973,8.1268721,8.1028442,6.2349644,1.8919082,.024028301,.031492956,7.1998544,7.7830639,1973,.41649312,0
1974,8.0940399,8.0956459,6.2466078,1.8474319,-.001606226,-.045359019,7.6741257,7.8924432,1974,.55435234,0
1975,8.1625643,8.1285868,6.2702222,1.8923415,.033976912,-.021532025,7.7133346,7.3978653,1975,.7197001,0
1976,8.2098093,8.1598063,6.2872171,1.9225925,.050003409,-.015756046,7.4020944,7.4676094,1976,.91503543,0
1977,8.2334423,8.2163811,6.2907314,1.9427115,.01706183,-.018824823,7.4026885,7.3113542,1977,1.1428572,0
1978,8.3123817,8.2722044,6.299428,2.0129535,.040177107,.028714694,7.2556057,7.3781323,1978,1.4056643,0
1979,8.3252678,8.3074875,6.2987428,2.0265253,.017780542,.014023223,7.2551432,7.3113294,1979,1.7059559,.000017857143
1980,8.3263941,8.3438177,6.3245158,2.001878,-.017423868,-.027351238,7.3229666,7.458312,1980,2.0462308,.0010247293
1981,8.3890123,8.3509216,6.33254,2.0564725,.038090944,.0045499844,7.3392777,7.0677218,1981,2.428988,.0054051951
1982,8.4199438,8.3855324,6.3222589,2.0976849,.03441143,.023985574,7.1082087,6.8852458,1982,2.8567264,.015658215
1983,8.3550196,8.4106598,6.2916055,2.0634141,-.055640221,-.0067183245,6.9395852,7.1690922,1983,3.3319449,.034282744
1984,8.4690313,8.4346008,6.3202596,2.1487713,.034430027,.029158823,7.000175,6.9030552,1984,3.8571429,.063777745
1985,8.4967413,8.4404135,6.3231316,2.1736095,.056327581,.033294268,6.8816462,6.7463837,1985,4.4348187,.10664218
1986,8.5035992,8.4728775,6.3206291,2.1829696,.030721188,.031867724,6.7087746,6.5978465,1986,5.067472,.16537499
1987,8.4728718,8.5048656,6.2996716,2.1731997,-.031994343,.0097017214,6.5460234,6.6546054,1987,5.7576008,.2424752
1988,8.4439602,8.5049763,6.3092842,2.1346762,-.061015844,-.042830598,6.667882,6.9497046,1988,6.5077052,.34044167
1989,8.5456171,8.5294828,6.33886,2.2067573,.016134501,.0043068039,6.8399391,6.7026062,1989,7.3202834,.46177343
1990,8.5834589,8.5565033,6.3385234,2.2449355,.026955605,.021846011,6.6665797,6.5256624,1990,8.197834,.60896939
1991,8.5614767,8.5642767,6.328084,2.2333932,-.002799511,-.013854005,6.5944276,6.5927014,1991,9.1428576,.78452855
1992,8.610157,8.5780096,6.3335352,2.2766218,.032147408,.01117318,6.5693393,6.5215735,1992,10.157851,.99094987
1993,8.5768595,8.5960169,6.3275404,2.2493191,-.01915741,-.015464414,6.5291834,6.640851,1993,11.245315,1.2307322
1994,8.6331453,8.61868,6.3322854,2.3008597,.014465094,.0044519599,6.5761013,6.4766011,1994,12.407746,1.5063747
1995,8.6089878,8.6400156,6.3359098,2.273078,-.031027794,-.032137502,6.5050516,6.7230592,1995,13.647647,1.8203762
1996,8.6825771,8.6604462,6.3554211,2.3271561,.022130966,-.0014184039,6.6326332,6.5912118,1996,14.967513,2.1752355
1997,8.7126875,8.685214,6.3747578,2.3379295,.027473211,-.0042579095,6.5231824,6.5738926,1997,16.369488,2.5732083
1998,8.7328215,8.7130499,6.3663058,2.3665156,.019771576,.0047582253,6.5455022,6.3187571,1998,17.851284,3.0135374
1999,8.7355814,8.7205057,6.3607101,2.3748715,.015075922,.00021288513,6.3752117,6.1166101,1999,19.407637,3.4934347
2000,8.7247982,8.7399178,6.3641014,2.3606975,-.015118837,-.024015766,6.2297516,6.1314573,2000,21.033215,4.0100737
2001,8.7522974,8.7693768,6.3638749,2.3884225,-.017079353,-.0013147887,6.2641935,6.091115,2001,22.722696,4.5606284
2002,8.7293482,8.7749166,6.3609958,2.3683527,-.045568228,-.034958437,6.1298466,6.2991881,2002,24.470757,5.1422725
2003,8.7556353,8.7871485,6.3713427,2.3842928,-.031512976,-.028163044,6.1960211,6.4909196,2003,26.27207,5.7521791
2004,8.8493681,8.8269749,6.4065681,2.4427996,.02239275,.017433617,6.317235,6.1061082,2004,28.121309,6.3875232
2005,8.8585024,8.8497601,6.4238186,2.4346843,.0087428093,-.00093438156,6.1932392,6.1529336,2005,30.013151,7.0454774
2006,8.8499794,8.8616018,6.410727,2.4392526,-.01162219,-.0082042273,6.2459612,6.4225478,2006,31.94227,7.7232151
2007,8.8984022,8.9010115,6.429965,2.4684377,-.0026087761,-.0078345267,6.4440851,6.8215823,2007,33.903339,8.4179115
2008,8.9660378,8.9398069,6.4661751,2.4998627,.026230812,.023641717,6.8301282,6.5569015,2008,35.891037,9.1267385
2009,8.9545288,8.9389744,6.4639845,2.4905446,.015554667,.0033412126,6.6154146,6.6196065,2009,37.900036,9.8468714
2010,8.9804497,8.9751062,6.4681606,2.5122888,.0053431988,.0032475847,6.6806374,6.9017181,2010,39.925011,10.575483
2011,9.020875,9.0038748,6.489604,2.5312712,.017000437,.010688438,6.879354,6.7967696,2011,41.960632,11.309745
2012,8.9992132,9.0089502,6.5004625,2.4987509,-.0097367764,-.040898822,6.7884064,7.0248909,2012,44.001583,12.046835
2013,9.0892715,9.0516472,6.5207491,2.5685227,.037624598,.014991947,6.9149914,6.7711682,2013,46.043419,12.784396
2014,9.1192026,,6.5301261,2.5890768,,.02681041,6.7184367,6.5989227,2014,48.085255,13.521957
2015,,,,,,,6.6093593,6.4296718,2015,50.12709,14.259519
2016,,,,,,,6.4564252,6.4364891,2016,52.16893,14.99708
